"Tool","Tool Version","Format","Issue Provider","Supported Since","Remarks"
"[DocFx](https://dotnet.github.io/docfx/){target='_blank'}",,,"[Cake.Issues.DocFx](issue-providers/docfx/index.md)",0.1.0,
"[dupFinder](https://www.jetbrains.com/help/resharper/2021.2/dupFinder.html){target='_blank'}",,,"Cake.Issues.DupFinder",0.8.0,"Deprecated since [dupFinder Command Line Tool has been sunsetted](https://blog.jetbrains.com/dotnet/2021/08/12/sunsetting-dupfinder-command-line-tool/){target='_blank'}"
"[ESLint](https://eslint.org){target='_blank'}","Current","[json](https://eslint.org/docs/latest/use/formatters/#json){target='_blank'}","[Cake.Issues.EsLint](issue-providers/eslint/index.md)",0.1.0,
"[Hadolint](https://github.com/hadolint/hadolint){target='_blank'}",,"sarif","Cake.Issues.Sarif",4.2.0,
"[InspectCode](https://www.jetbrains.com/help/resharper/InspectCode.html){target='_blank'}",,"xml","[Cake.Issues.InspectCode](issue-providers/inspectcode/index.md)",0.1.0,
"[InspectCode](https://www.jetbrains.com/help/resharper/InspectCode.html){target='_blank'}",">= 2024.1","SARIF","Cake.Issues.Sarif",4.2.0,
"[markdownlint](https://github.com/DavidAnson/markdownlint){target='_blank'}",,"resultVersion=1","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.1.0,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",< 0.9.0,"Default","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.2.0,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",>= 0.9.0,"Default","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.3.0,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",>= 0.19.0,"Default","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.8.1,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",>= 0.22.0,"Default","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.8.2,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",,"json","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",1.1.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 7","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",0.6.1,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 8","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",0.8.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 9","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",2.0.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 16","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",3.0.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 17","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",4.0.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 18","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",4.1.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 20","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",4.3.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 21","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",4.7.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 22","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",4.10.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 23","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",4.11.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"Binary Log 24","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",4.12.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"[XmlFileLogger](https://github.com/mikefourie-zz/MSBuildExtensionPack/blob/master/Solutions/Main/Loggers/Framework/XmlFileLogger.cs){target='_blank'}","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",0.1.0,
"[Terraform Validate](https://www.terraform.io/docs/cli/commands/validate.html){target='_blank'}",,,"[Cake.Issues.Terraform](issue-providers/terraform/index.md)",1.0.0,
"[TFLint](https://github.com/terraform-linters/tflint){target='_blank'}",,"sarif","Cake.Issues.Sarif",4.2.0,
"[Trivy](https://trivy.dev/){target='_blank'}",,"[SARIF](https://trivy.dev/v0.58/docs/configuration/reporting/#sarif){target='_blank'}","Cake.Issues.Sarif",4.2.0,
