"Tool","Tool Version","Format","Issue Provider","Supported Since","Remarks"
"[actionlint](https://github.com/rhysd/actionlint){target='_blank'}",,"[SARIF](https://github.com/rhysd/actionlint/blob/v1.7.4/docs/usage.md#example-sarif-format){target='_blank'}","Cake.Issues.Sarif",4.2.0,
"[Ansible-lint](https://ansible.readthedocs.io/projects/lint/){target='_blank'}",,"[SARIF](https://ansible.readthedocs.io/projects/lint/usage/#sarif-json){target='_blank'}","Cake.Issues.Sarif",4.2.0,
"[cfn-lint](https://github.com/aws-cloudformation/cfn-lint){target='_blank'}",,"[SARIF](https://github.com/aws-cloudformation/cfn-lint?tab=readme-ov-file#parameters){target='_blank'}","Cake.Issues.Sarif",4.2.0,
"[checkov](https://www.checkov.io/){target='_blank'}",,"[SARIF](https://www.checkov.io/2.Basics/CLI%20Command%20Reference.html){target='_blank'}","Cake.Issues.Sarif",4.2.0,
"[checkstyle](https://checkstyle.org/){target='_blank'}",,"[sarif](https://checkstyle.org/cmdline.html#Command_line_usage_Command_Line_Options){target='_blank'}","Cake.Issues.Sarif",4.2.0,
"[DocFx](https://dotnet.github.io/docfx/){target='_blank'}",,,"[Cake.Issues.DocFx](issue-providers/docfx/index.md)",0.1.0,
"[dupFinder](https://www.jetbrains.com/help/resharper/2021.2/dupFinder.html){target='_blank'}",,,"Cake.Issues.DupFinder",0.8.0,"Deprecated since [dupFinder Command Line Tool has been sunsetted](https://blog.jetbrains.com/dotnet/2021/08/12/sunsetting-dupfinder-command-line-tool/){target='_blank'}"
"[ESLint](https://eslint.org){target='_blank'}","Current","[json](https://eslint.org/docs/latest/use/formatters/#json){target='_blank'}","[Cake.Issues.EsLint](issue-providers/eslint/index.md)",0.1.0,
"[golangci-lint](https://github.com/golangci/golangci-lint){target='_blank'}",,"[sarif](https://golangci-lint.run/usage/configuration/#output-configuration){target='_blank'}","Cake.Issues.Sarif",4.2.0,
"[Hadolint](https://github.com/hadolint/hadolint){target='_blank'}",,"[sarif](https://github.com/hadolint/hadolint?tab=readme-ov-file#cli){target='_blank'}","Cake.Issues.Sarif",4.2.0,
"[InspectCode](https://www.jetbrains.com/help/resharper/InspectCode.html){target='_blank'}",,"[xml](https://www.jetbrains.com/help/resharper/InspectCode.html#alternative-output-formats){target='_blank'}","[Cake.Issues.InspectCode](issue-providers/inspectcode/index.md)",0.1.0,
"[InspectCode](https://www.jetbrains.com/help/resharper/InspectCode.html){target='_blank'}",">= 2024.1","[SARIF](https://www.jetbrains.com/help/resharper/InspectCode.html#understanding-output){target='_blank'}","Cake.Issues.Sarif",4.2.0,
"[markdownlint](https://github.com/DavidAnson/markdownlint){target='_blank'}",,"[resultVersion=1](https://github.com/DavidAnson/markdownlint?tab=readme-ov-file#optionsresultversion){target='_blank'}","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.1.0,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",< 0.9.0,"Default","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.2.0,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",>= 0.9.0,"Default","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.3.0,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",>= 0.19.0,"Default","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.8.1,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",>= 0.22.0,"Default","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",0.8.2,
"[markdownlint-cli](https://github.com/igorshubovych/markdownlint-cli){target='_blank'}",,"[json](https://github.com/igorshubovych/markdownlint-cli?tab=readme-ov-file#usage){target='_blank'}","[Cake.Issues.Markdownlint](issue-providers/markdownlint/index.md)",1.1.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"[Binary Log 7](https://learn.microsoft.com/en-us/visualstudio/msbuild/obtaining-build-logs-with-msbuild#save-a-binary-log){target='_blank'}","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",0.6.1,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"[Binary Log 8](https://learn.microsoft.com/en-us/visualstudio/msbuild/obtaining-build-logs-with-msbuild#save-a-binary-log){target='_blank'}","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",0.8.0,
"[MsBuild](https://docs.microsoft.com/visualstudio/msbuild/msbuild){target='_blank'}",,"[Binary Log 9](https://learn.microsoft.com/en-us/visualstudio/msbuild/obtaining-build-logs-with-msbuild#save-a-binary-log){target='_blank'}","[Cake.Issues.MsBuild](issue-providers/msbuild/index.md)",2.0.0,
